timestamp_ms,temperature_c,acc_x_g,acc_y_g,acc_z_g,gyr_x_dps,gyr_y_dps,gyr_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,mic_level,bat_voltage_v,bat_percent
608886,42.36,0.0,-0.009,1.01,-0.24,0.12,-0.18,-161.47,375.25,59.35,0.1,4.167,100
608989,42.35,0.001,-0.007,1.011,-0.18,0.24,-0.18,-182.46,399.24,20.36,1.0,4.167,100
609092,42.38,-0.002,-0.009,1.01,-0.49,0.18,-0.24,-143.48,390.25,53.35,0.2,4.167,100
609195,42.36,-0.001,-0.008,1.01,-0.24,0.18,-0.24,-170.46,387.25,50.35,0.1,4.167,100
609298,42.36,-0.0,-0.008,1.012,-0.18,0.0,-0.18,-167.47,393.25,32.36,0.2,4.167,100
609401,42.37,-0.0,-0.01,1.008,-0.31,0.06,-0.24,-173.46,405.24,38.35,0.1,4.167,100
609504,42.34,0.023,-0.007,1.018,-0.31,0.49,-0.55,-188.46,372.26,-9.63,0.2,4.167,100
609607,42.35,-0.006,-0.012,1.008,-0.31,0.0,-0.18,-185.46,375.25,32.36,0.2,4.167,100
609710,42.35,-0.013,-0.01,1.008,-0.12,0.0,-0.18,-161.47,369.26,32.36,0.7,4.167,100
609813,42.37,-0.005,-0.007,1.01,-0.18,0.0,-0.24,-161.47,390.25,32.36,0.1,4.167,100
609916,42.36,0.006,-0.007,1.011,-0.24,0.24,-0.31,-164.47,399.24,53.35,0.1,4.167,100
610019,42.3,-0.0,-0.01,1.008,-0.24,0.18,-0.31,-167.47,402.24,47.35,0.2,4.167,100
610122,42.34,-0.002,-0.011,1.01,-0.12,0.37,-0.18,-179.46,378.25,47.35,0.2,4.167,100
610225,42.33,-0.002,-0.006,1.012,-0.31,0.24,-0.31,-164.47,378.25,26.36,0.2,4.167,100
610328,42.36,0.0,-0.009,1.01,-0.31,0.12,-0.24,-161.47,360.26,35.36,0.1,4.167,100
610431,42.33,-0.0,-0.009,1.011,-0.24,0.18,-0.31,-164.47,381.25,29.36,0.2,4.167,100
610534,42.33,0.001,-0.006,1.01,-0.24,0.18,-0.31,-167.47,387.25,17.36,0.1,4.167,100
610637,42.35,-0.001,-0.009,1.011,-0.31,0.18,-0.24,-155.47,396.25,47.35,0.1,4.167,100
610740,42.35,0.0,-0.008,1.01,-0.18,0.12,-0.06,-173.46,390.25,53.35,0.1,4.166,100
610843,42.33,0.0,-0.008,1.01,-0.06,0.18,-0.24,-179.46,369.26,47.35,0.1,4.166,100
610946,42.33,-0.0,-0.008,1.01,-0.31,0.18,-0.18,-170.46,393.25,32.36,0.1,4.166,100
611049,42.32,-0.005,-0.009,1.011,-0.37,0.24,-0.12,-143.48,405.24,-3.63,0.1,4.166,100
611152,42.36,-0.001,-0.01,1.01,-0.24,0.18,-0.24,-140.48,375.25,50.35,0.2,4.166,100
611255,42.33,0.001,-0.009,1.01,-0.24,0.18,-0.18,-146.47,390.25,38.35,0.1,4.166,100
611358,42.36,0.0,-0.009,1.01,-0.24,0.18,-0.18,-143.48,372.26,20.36,0.1,4.166,100
611461,42.33,0.001,-0.006,1.011,-0.31,0.12,-0.31,-149.47,378.25,29.36,0.1,4.166,100
611564,42.36,-0.001,-0.009,1.009,-0.24,0.24,-0.37,-164.47,411.24,20.36,0.1,4.166,100
611667,42.35,-0.001,-0.009,1.012,-0.31,0.18,-0.31,-164.47,405.24,35.36,0.1,4.166,100
611770,42.37,-0.001,-0.01,1.01,-0.18,0.18,-0.18,-182.46,399.24,44.35,0.1,4.166,100
611873,42.33,-0.001,-0.01,1.012,-0.24,0.24,-0.31,-173.46,378.25,14.36,0.1,4.166,100
611976,42.34,0.0,-0.01,1.01,-0.24,0.06,-0.31,-197.45,375.25,65.34,0.1,4.166,100
612079,42.36,-0.0,-0.01,1.011,-0.24,0.18,-0.12,-173.46,405.24,14.36,0.2,4.166,100
612182,42.34,-0.0,-0.009,1.011,-0.31,0.31,-0.31,-185.46,396.25,26.36,0.1,4.166,100
612285,42.33,-0.001,-0.008,1.008,-0.12,0.06,-0.31,-170.46,351.26,44.35,0.1,4.166,100
612388,42.34,0.0,-0.009,1.01,-0.12,0.06,-0.18,-170.46,369.26,32.36,0.1,4.166,100
612491,42.35,0.0,-0.009,1.01,-0.12,0.06,-0.24,-161.47,372.26,47.35,0.1,4.166,100
612594,42.33,-0.0,-0.009,1.011,-0.37,0.18,-0.31,-185.46,417.24,23.36,0.1,4.166,100
612697,42.35,-0.0,-0.008,1.012,-0.24,0.18,-0.24,-161.47,384.25,5.37,0.1,4.167,100
612800,42.34,-0.0,-0.01,1.013,-0.18,0.24,-0.24,-176.46,402.24,35.36,0.1,4.167,100
612903,42.33,-0.001,-0.009,1.012,-0.12,-0.06,-0.06,-176.46,402.24,38.35,0.1,4.167,100
613006,42.33,0.0,-0.008,1.008,-0.31,0.24,-0.24,-197.45,399.24,17.36,0.1,4.167,100
613109,42.37,-0.001,-0.008,1.01,-0.24,0.12,-0.12,-158.47,354.26,38.35,0.1,4.167,100
613212,42.34,0.001,-0.009,1.01,-0.24,0.06,-0.18,-170.46,381.25,2.37,0.1,4.167,100
613315,42.34,-0.0,-0.008,1.01,-0.24,0.12,-0.18,-170.46,408.24,50.35,0.1,4.167,100
613418,42.35,-0.001,-0.009,1.011,-0.31,0.24,-0.18,-140.48,417.24,65.34,0.1,4.167,100
613521,42.34,-0.001,-0.009,1.011,-0.12,0.24,-0.24,-137.48,342.27,44.35,0.2,4.167,100
613624,42.37,-0.002,-0.004,1.006,-0.31,0.06,-0.31,-161.47,408.24,5.37,0.2,4.167,100
613727,42.34,-0.001,-0.009,1.009,-0.24,0.18,-0.24,-149.47,378.25,26.36,0.1,4.166,100
613830,42.35,0.0,-0.01,1.01,-0.31,0.24,-0.31,-152.47,357.26,32.36,0.3,4.166,100
613933,42.32,-0.001,-0.008,1.011,-0.24,0.24,-0.18,-182.46,399.24,44.35,0.1,4.166,100
614036,42.39,-0.002,-0.01,1.011,-0.37,0.12,-0.24,-140.48,378.25,32.36,0.1,4.166,100
614139,42.37,-0.002,-0.008,1.008,-0.12,0.12,-0.18,-161.47,405.24,35.36,0.1,4.166,100
614242,42.34,0.0,-0.007,1.008,-0.31,0.31,-0.24,-161.47,372.26,38.35,0.1,4.166,100
614345,42.36,0.0,-0.009,1.011,-0.18,0.18,-0.24,-173.46,363.26,62.34,0.1,4.166,100
614448,42.34,-0.001,-0.009,1.012,-0.24,0.18,-0.31,-179.46,375.25,11.37,0.1,4.166,100
614551,42.34,-0.0,-0.007,1.01,-0.18,0.06,-0.18,-179.46,360.26,35.36,0.1,4.166,100
614654,42.35,-0.001,-0.009,1.01,-0.12,0.24,-0.24,-149.47,414.24,35.36,0.1,4.166,100
614757,42.36,0.001,-0.009,1.01,-0.24,0.24,-0.18,-155.47,354.26,14.36,0.1,4.167,100
614860,42.35,0.0,-0.008,1.01,-0.24,0.18,-0.31,-155.47,384.25,26.36,0.1,4.167,100
614963,42.35,0.002,-0.01,1.01,-0.18,0.12,-0.24,-152.47,345.27,35.36,0.1,4.167,100
615066,42.37,0.0,-0.007,1.011,-0.31,0.12,-0.31,-158.47,408.24,50.35,0.1,4.167,100
615169,42.36,-0.003,-0.009,1.01,-0.24,0.31,-0.31,-164.47,372.26,2.37,0.1,4.167,100
