timestamp_ms,temperature_c,acc_x_g,acc_y_g,acc_z_g,gyr_x_dps,gyr_y_dps,gyr_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,mic_level,bat_voltage_v,bat_percent
0,34.98,-0.003,-0.009,1.013,0.06,-0.04,-0.53,-165.12,358.8,61.68,0.2,4.154,99
100,35.04,-0.001,-0.012,1.012,-0.13,0.17,-0.37,-170.23,347.52,68.37,0.3,4.155,99
200,34.93,-0.002,-0.007,1.012,0.21,-0.3,-0.44,-172.31,349.88,67.27,0.5,4.156,99
300,35.03,0.005,-0.008,1.011,0.28,0.26,-0.18,-173.62,358.94,65.68,0.5,4.156,99
400,34.99,-0.0,-0.006,1.012,0.28,-0.33,-0.03,-173.36,355.51,59.54,0.3,4.155,99
500,35.05,-0.002,-0.009,1.008,0.07,0.02,-0.05,-177.32,358.23,70.46,0.2,4.154,99
600,35.14,-0.001,-0.013,1.011,0.02,-0.01,-0.58,-167.06,356.34,61.03,0.3,4.155,99
700,35.02,-0.005,-0.011,1.012,-0.1,-0.06,0.1,-175.82,354.32,66.49,0.1,4.155,99
799,35.1,-0.004,-0.007,1.01,0.04,0.22,-0.39,-172.53,353.01,65.79,0.2,4.154,99
899,35.07,0.003,-0.01,1.013,-0.53,0.1,-0.81,-177.73,351.57,66.79,0.3,4.153,99
999,35.11,-0.003,-0.009,1.009,-0.09,-0.0,-0.1,-164.45,350.77,69.73,0.2,4.154,99
1099,35.11,0.003,-0.015,1.012,-0.01,0.05,-0.06,-170.89,349.53,70.18,23.7,4.153,99
1200,35.09,0.002,-0.008,1.012,-0.18,0.11,-0.17,-166.78,351.24,66.51,0.2,4.155,99
1300,35.15,0.002,-0.017,1.012,-0.08,0.33,-0.14,-165.22,358.76,69.98,0.3,4.154,99
1400,35.2,-0.005,-0.015,1.01,0.07,-0.14,-0.28,-172.01,354.05,62.92,0.4,4.153,99
1500,35.2,-0.003,-0.009,1.009,0.24,-0.04,-0.16,-173.61,357.17,62.13,0.4,4.154,99
1600,35.09,-0.002,-0.008,1.011,0.25,-0.0,-0.53,-173.79,356.28,64.94,0.3,4.155,99
1700,35.17,-0.006,-0.009,1.006,-0.4,-0.15,-0.23,-180.03,345.28,67.41,0.1,4.154,99
1800,35.14,0.003,-0.013,1.012,0.2,0.12,-0.53,-162.99,356.33,63.58,0.2,4.153,99
1900,35.16,0.001,-0.005,1.008,-0.02,0.09,-0.45,-171.91,356.21,68.87,0.5,4.154,99
2000,35.23,-0.005,-0.015,1.013,0.16,-0.15,-0.24,-176.12,346.92,62.84,0.2,4.154,99
2100,35.22,0.0,-0.011,1.013,-0.25,0.05,-0.45,-163.46,360.7,69.94,40.2,4.154,99
